,wf_id,dieSize,lotid,labels,image,set
217,217,1075.0,lot23106,Edge-Ring,wf_image_217.png,test
218,218,1109.0,lot45382,Edge-Loc,wf_image_218.png,train
219,219,3927.0,lot9150,Edge-Ring,wf_image_219.png,val
220,220,904.0,lot45626,Center,wf_image_220.png,train
221,221,2126.0,lot21578,Edge-Ring,wf_image_221.png,cal
222,222,1080.0,lot18730,Center,wf_image_222.png,train
223,223,1129.0,lot42676,Edge-Loc,wf_image_223.png,train
224,224,1334.0,lot17155,Donut,wf_image_224.png,train
225,225,776.0,lot44137,Scratch,wf_image_225.png,train
226,226,2126.0,lot20731,Edge-Ring,wf_image_226.png,train
227,227,515.0,lot35934,Center,wf_image_227.png,test
228,228,1421.0,lot44783,Edge-Ring,wf_image_228.png,test
229,229,2126.0,lot18019,Edge-Ring,wf_image_229.png,test
230,230,776.0,lot40752,Scratch,wf_image_230.png,test
231,231,533.0,lot40488,Loc,wf_image_231.png,test
232,232,1139.0,lot21375,Loc,wf_image_232.png,train
233,233,1109.0,lot45512,Center,wf_image_233.png,train
234,234,845.0,lot42187,Loc,wf_image_234.png,test
235,235,1334.0,lot17116,Donut,wf_image_235.png,val
236,236,2126.0,lot22488,Edge-Ring,wf_image_236.png,val
237,237,518.0,lot43965,Edge-Ring,wf_image_237.png,train
238,238,1075.0,lot2523,Edge-Ring,wf_image_238.png,train
239,239,846.0,lot36539,Edge-Loc,wf_image_239.png,train
240,240,1801.0,lot6425,Scratch,wf_image_240.png,train
241,241,515.0,lot36901,Center,wf_image_241.png,cal
242,242,1136.0,lot42763,Scratch,wf_image_242.png,test
243,243,562.0,lot47177,Edge-Ring,wf_image_243.png,test
244,244,1334.0,lot17133,Donut,wf_image_244.png,test
245,245,904.0,lot45642,Loc,wf_image_245.png,train
246,246,741.0,lot44216,Scratch,wf_image_246.png,train
247,247,776.0,lot40801,Loc,wf_image_247.png,test
248,248,845.0,lot7243,Loc,wf_image_248.png,test
249,249,562.0,lot46883,Scratch,wf_image_249.png,val
250,250,1075.0,lot2499,Edge-Ring,wf_image_250.png,test
251,251,1060.0,lot47393,Scratch,wf_image_251.png,train
252,252,2126.0,lot20730,Edge-Ring,wf_image_252.png,train
253,253,3927.0,lot9150,Edge-Ring,wf_image_253.png,train
254,254,562.0,lot47129,Scratch,wf_image_254.png,val
255,255,515.0,lot36897,Center,wf_image_255.png,train
256,256,1129.0,lot42676,Loc,wf_image_256.png,train
257,257,600.0,lot47505,Edge-Ring,wf_image_257.png,train
258,258,515.0,lot35964,Center,wf_image_258.png,train
259,259,3036.0,lot10182,Edge-Ring,wf_image_259.png,test
260,260,1080.0,lot21655,Loc,wf_image_260.png,train
261,261,515.0,lot36829,Center,wf_image_261.png,train
262,262,3036.0,lot11843,Edge-Ring,wf_image_262.png,train
263,263,1109.0,lot45596,Donut,wf_image_263.png,train
264,264,1075.0,lot12907,Edge-Ring,wf_image_264.png,train
265,265,3036.0,lot12758,Edge-Ring,wf_image_265.png,train
266,266,3927.0,lot9147,Edge-Ring,wf_image_266.png,train
267,267,2126.0,lot20728,Edge-Ring,wf_image_267.png,train
268,268,845.0,lot42193,Donut,wf_image_268.png,test
269,269,3036.0,lot11965,Edge-Ring,wf_image_269.png,test
270,270,741.0,lot44462,Edge-Loc,wf_image_270.png,train
271,271,904.0,lot45624,Center,wf_image_271.png,cal
272,272,515.0,lot36830,Center,wf_image_272.png,train
273,273,533.0,lot193,Edge-Loc,wf_image_273.png,cal
274,274,515.0,lot36547,Center,wf_image_274.png,cal
275,275,1421.0,lot44802,Edge-Ring,wf_image_275.png,train
276,276,1226.0,lot23639,Center,wf_image_276.png,val
277,277,1421.0,lot44811,Edge-Ring,wf_image_277.png,train
278,278,1075.0,lot23101,Edge-Ring,wf_image_278.png,cal
279,279,845.0,lot7258,Center,wf_image_279.png,train
280,280,2126.0,lot20910,Edge-Ring,wf_image_280.png,train
281,281,2126.0,lot20738,Edge-Ring,wf_image_281.png,val
282,282,939.0,lot2273,Edge-Ring,wf_image_282.png,val
283,283,939.0,lot7846,Loc,wf_image_283.png,train
284,284,516.0,lot42985,Edge-Loc,wf_image_284.png,cal
285,285,515.0,lot36830,Center,wf_image_285.png,train
286,286,939.0,lot6038,Edge-Loc,wf_image_286.png,test
287,287,3927.0,lot9155,Edge-Ring,wf_image_287.png,test
288,288,3036.0,lot12750,Edge-Ring,wf_image_288.png,train
289,289,515.0,lot36944,Center,wf_image_289.png,train
290,290,516.0,lot43042,Loc,wf_image_290.png,val
291,291,515.0,lot36994,Center,wf_image_291.png,test
292,292,710.0,lot38377,Random,wf_image_292.png,test
293,293,1080.0,lot21723,Edge-Ring,wf_image_293.png,cal
294,294,1075.0,lot13960,Edge-Ring,wf_image_294.png,train
295,295,1080.0,lot18746,Edge-Ring,wf_image_295.png,test
296,296,1109.0,lot45372,Edge-Loc,wf_image_296.png,test
297,297,1080.0,lot24214,Random,wf_image_297.png,train
298,298,516.0,lot43578,Edge-Loc,wf_image_298.png,train
299,299,562.0,lot46966,Loc,wf_image_299.png,train
300,300,515.0,lot36954,Center,wf_image_300.png,train
301,301,3036.0,lot2074,Edge-Ring,wf_image_301.png,train
302,302,562.0,lot46787,Edge-Ring,wf_image_302.png,train
303,303,12662.0,lot19864,Edge-Ring,wf_image_303.png,train
304,304,1109.0,lot45363,Edge-Loc,wf_image_304.png,train
305,305,1376.0,lot45765,Edge-Loc,wf_image_305.png,train
306,306,1658.0,lot16600,Edge-Ring,wf_image_306.png,train
307,307,1075.0,lot13968,Edge-Ring,wf_image_307.png,cal
308,308,1376.0,lot45687,Random,wf_image_308.png,train
309,309,1075.0,lot2518,Edge-Ring,wf_image_309.png,cal
310,310,845.0,lot42185,Donut,wf_image_310.png,train
311,311,518.0,lot44864,Edge-Loc,wf_image_311.png,train
312,312,1349.0,lot2432,Random,wf_image_312.png,train
313,313,2126.0,lot22473,Edge-Ring,wf_image_313.png,train
314,314,776.0,lot41023,Edge-Loc,wf_image_314.png,train
315,315,846.0,lot5381,Loc,wf_image_315.png,train
316,316,1075.0,lot23099,Edge-Ring,wf_image_316.png,cal
317,317,515.0,lot36923,Center,wf_image_317.png,train
318,318,1109.0,lot45550,Loc,wf_image_318.png,cal
319,319,776.0,lot41182,Edge-Loc,wf_image_319.png,train
320,320,1376.0,lot45866,Edge-Loc,wf_image_320.png,cal
321,321,3036.0,lot11880,Edge-Ring,wf_image_321.png,test
322,322,515.0,lot33160,Center,wf_image_322.png,train
323,323,2126.0,lot22476,Edge-Ring,wf_image_323.png,cal
324,324,515.0,lot37013,Center,wf_image_324.png,train
325,325,1075.0,lot13965,Edge-Ring,wf_image_325.png,test
326,326,1376.0,lot45705,Edge-Ring,wf_image_326.png,train
327,327,1080.0,lot23173,Donut,wf_image_327.png,train
328,328,518.0,lot44021,Edge-Loc,wf_image_328.png,val
329,329,3036.0,lot11968,Edge-Ring,wf_image_329.png,train
330,330,516.0,lot43496,Loc,wf_image_330.png,train
331,331,2126.0,lot18018,Edge-Ring,wf_image_331.png,train
332,332,1075.0,lot23104,Edge-Ring,wf_image_332.png,train
333,333,518.0,lot45259,Edge-Loc,wf_image_333.png,train
334,334,3927.0,lot2153,Edge-Ring,wf_image_334.png,val
335,335,2126.0,lot20733,Edge-Ring,wf_image_335.png,test
336,336,1109.0,lot45592,Random,wf_image_336.png,train
337,337,520.0,lot1609,Edge-Loc,wf_image_337.png,cal
338,338,562.0,lot46795,Edge-Loc,wf_image_338.png,train
339,339,3927.0,lot9149,Edge-Ring,wf_image_339.png,train
340,340,1376.0,lot45894,Scratch,wf_image_340.png,train
341,341,776.0,lot40832,Scratch,wf_image_341.png,cal
342,342,515.0,lot36670,Center,wf_image_342.png,train
343,343,3927.0,lot9156,Edge-Ring,wf_image_343.png,train
344,344,1334.0,lot17161,Center,wf_image_344.png,train
345,345,1075.0,lot2508,Edge-Ring,wf_image_345.png,train
346,346,3036.0,lot10188,Edge-Ring,wf_image_346.png,train
347,347,3927.0,lot9149,Edge-Ring,wf_image_347.png,train
348,348,516.0,lot42963,Near-full,wf_image_348.png,test
349,349,533.0,lot42159,Random,wf_image_349.png,test
350,350,1109.0,lot45318,Edge-Loc,wf_image_350.png,test
351,351,3036.0,lot9337,Edge-Ring,wf_image_351.png,train
352,352,533.0,lot108,Edge-Loc,wf_image_352.png,train
353,353,3036.0,lot11970,Edge-Ring,wf_image_353.png,test
354,354,1291.0,lot11988,Edge-Ring,wf_image_354.png,train
355,355,533.0,lot210,Scratch,wf_image_355.png,train
356,356,533.0,lot40362,Edge-Loc,wf_image_356.png,val
357,357,1334.0,lot17137,Donut,wf_image_357.png,val
358,358,1060.0,lot47471,Loc,wf_image_358.png,train
359,359,3927.0,lot10008,Edge-Ring,wf_image_359.png,val
360,360,1421.0,lot44776,Edge-Ring,wf_image_360.png,train
361,361,846.0,lot5503,Edge-Loc,wf_image_361.png,train
362,362,3036.0,lot12749,Edge-Ring,wf_image_362.png,train
363,363,733.0,lot39439,Center,wf_image_363.png,train
364,364,12662.0,lot17285,Edge-Ring,wf_image_364.png,train
365,365,3036.0,lot10186,Edge-Ring,wf_image_365.png,train
366,366,1074.0,lot44162,Edge-Ring,wf_image_366.png,test
367,367,1075.0,lot2151,Edge-Ring,wf_image_367.png,train
368,368,600.0,lot47488,Scratch,wf_image_368.png,cal
369,369,1075.0,lot13966,Edge-Ring,wf_image_369.png,test
370,370,1658.0,lot16554,Edge-Ring,wf_image_370.png,cal
371,371,1334.0,lot45974,Loc,wf_image_371.png,train
372,372,562.0,lot46922,Edge-Loc,wf_image_372.png,train
373,373,515.0,lot36838,Center,wf_image_373.png,train
374,374,1080.0,lot18746,Edge-Ring,wf_image_374.png,test
375,375,1376.0,lot45768,Edge-Loc,wf_image_375.png,cal
376,376,1334.0,lot17169,Donut,wf_image_376.png,test
377,377,733.0,lot39479,Center,wf_image_377.png,train
378,378,904.0,lot45635,Loc,wf_image_378.png,train
379,379,3036.0,lot11971,Edge-Ring,wf_image_379.png,test
380,380,733.0,lot39436,Center,wf_image_380.png,val
381,381,1421.0,lot44804,Edge-Loc,wf_image_381.png,train
382,382,1129.0,lot5687,Edge-Loc,wf_image_382.png,val
383,383,1334.0,lot17189,Loc,wf_image_383.png,train
384,384,3036.0,lot10183,Edge-Ring,wf_image_384.png,test
385,385,600.0,lot47508,Edge-Ring,wf_image_385.png,train
386,386,3036.0,lot12764,Edge-Ring,wf_image_386.png,train
387,387,533.0,lot40578,Edge-Loc,wf_image_387.png,train
388,388,1376.0,lot45803,Center,wf_image_388.png,test
389,389,710.0,lot38405,Edge-Loc,wf_image_389.png,train
390,390,518.0,lot43996,Edge-Ring,wf_image_390.png,train
391,391,1075.0,lot23103,Edge-Ring,wf_image_391.png,train
392,392,518.0,lot20780,Edge-Loc,wf_image_392.png,test
393,393,1109.0,lot45447,Random,wf_image_393.png,val
394,394,842.0,lot42350,Loc,wf_image_394.png,train
395,395,1999.0,lot14760,Edge-Ring,wf_image_395.png,val
396,396,515.0,lot35965,Center,wf_image_396.png,cal
397,397,2126.0,lot20737,Edge-Ring,wf_image_397.png,test
398,398,515.0,lot36666,Center,wf_image_398.png,val
399,399,1075.0,lot2489,Edge-Ring,wf_image_399.png,cal
400,400,515.0,lot36669,Center,wf_image_400.png,train
401,401,518.0,lot43889,Random,wf_image_401.png,train
402,402,2126.0,lot20905,Edge-Ring,wf_image_402.png,train
403,403,3036.0,lot11967,Edge-Ring,wf_image_403.png,cal
404,404,1075.0,lot11590,Edge-Ring,wf_image_404.png,test
405,405,562.0,lot46794,Edge-Ring,wf_image_405.png,val
406,406,1075.0,lot23108,Edge-Ring,wf_image_406.png,test
407,407,1253.0,lot2701,Edge-Ring,wf_image_407.png,test
408,408,3927.0,lot9149,Edge-Ring,wf_image_408.png,train
409,409,2126.0,lot20730,Edge-Ring,wf_image_409.png,test
410,410,1075.0,lot23097,Edge-Ring,wf_image_410.png,train
411,411,3036.0,lot11968,Edge-Ring,wf_image_411.png,val
412,412,1075.0,lot2500,Edge-Ring,wf_image_412.png,cal
413,413,518.0,lot44994,Edge-Loc,wf_image_413.png,train
414,414,3927.0,lot11172,Edge-Ring,wf_image_414.png,cal
415,415,776.0,lot41022,Scratch,wf_image_415.png,val
416,416,516.0,lot43533,Edge-Loc,wf_image_416.png,train
417,417,533.0,lot109,Scratch,wf_image_417.png,train
418,418,1658.0,lot16554,Edge-Ring,wf_image_418.png,test
419,419,516.0,lot43158,Edge-Loc,wf_image_419.png,train
420,420,516.0,lot43098,Scratch,wf_image_420.png,train
421,421,515.0,lot6163,Edge-Loc,wf_image_421.png,train
422,422,562.0,lot46861,Edge-Loc,wf_image_422.png,train
423,423,533.0,lot40377,Edge-Loc,wf_image_423.png,train
424,424,939.0,lot6227,Loc,wf_image_424.png,train
425,425,1109.0,lot45388,Edge-Loc,wf_image_425.png,val
426,426,741.0,lot44479,Edge-Loc,wf_image_426.png,test
427,427,12662.0,lot19851,Edge-Ring,wf_image_427.png,cal
428,428,1075.0,lot2513,Edge-Ring,wf_image_428.png,train
429,429,515.0,lot36893,Center,wf_image_429.png,train
430,430,1109.0,lot45591,Loc,wf_image_430.png,test
431,431,2126.0,lot20728,Edge-Ring,wf_image_431.png,train
432,432,846.0,lot36472,Edge-Loc,wf_image_432.png,train
433,433,2126.0,lot18377,Edge-Ring,wf_image_433.png,train
434,434,776.0,lot40994,Scratch,wf_image_434.png,train
435,435,1075.0,lot2508,Edge-Ring,wf_image_435.png,train
436,436,1129.0,lot11884,Edge-Ring,wf_image_436.png,test
437,437,2126.0,lot18380,Edge-Ring,wf_image_437.png,cal
438,438,515.0,lot3707,Edge-Loc,wf_image_438.png,train
439,439,845.0,lot42284,Donut,wf_image_439.png,cal
440,440,3036.0,lot11630,Edge-Ring,wf_image_440.png,cal
441,441,2126.0,lot18019,Edge-Ring,wf_image_441.png,train
442,442,1334.0,lot17134,Donut,wf_image_442.png,test
443,443,1109.0,lot11514,Random,wf_image_443.png,train
444,444,1376.0,lot45772,Edge-Loc,wf_image_444.png,train
445,445,3036.0,lot12761,Edge-Ring,wf_image_445.png,train
446,446,776.0,lot7529,Center,wf_image_446.png,val
447,447,1658.0,lot16602,Edge-Ring,wf_image_447.png,train
448,448,2126.0,lot20729,Edge-Ring,wf_image_448.png,cal
449,449,518.0,lot43961,Edge-Ring,wf_image_449.png,train
450,450,3036.0,lot11855,Edge-Ring,wf_image_450.png,test
451,451,1109.0,lot45308,Edge-Loc,wf_image_451.png,train
452,452,1075.0,lot13963,Edge-Ring,wf_image_452.png,test
